Date,Price
1/1/2020,7200.17
1/2/2020,6985.47
1/3/2020,7344.88
1/4/2020,7410.66
1/5/2020,7411.32
1/6/2020,7769.22
1/7/2020,8163.69
1/8/2020,8079.86
1/9/2020,7879.07
1/10/2020,8166.55
1/11/2020,8037.54
1/12/2020,8192.49
1/13/2020,8144.19
1/14/2020,8827.76
1/15/2020,8807.01
1/16/2020,8723.79
1/17/2020,8929.04
1/18/2020,8942.81
1/19/2020,8706.25
1/20/2020,8657.64
1/21/2020,8745.89
1/22/2020,8680.88
1/23/2020,8406.52
1/24/2020,8445.43
1/25/2020,8367.85
1/26/2020,8596.83
1/27/2020,8909.82
1/28/2020,9358.59
1/29/2020,9316.63
1/30/2020,9508.99
1/31/2020,9350.53
2/1/2020,9392.88
2/2/2020,9344.37
2/3/2020,9293.52
2/4/2020,9180.96
2/5/2020,9613.42
2/6/2020,9729.8
2/7/2020,9795.94
2/8/2020,9865.12
2/9/2020,10116.67
2/10/2020,9856.61
2/11/2020,10208.24
2/12/2020,10326.05
2/13/2020,10214.38
2/14/2020,10312.12
2/15/2020,9889.42
2/16/2020,9934.43
2/17/2020,9690.14
2/18/2020,10142
2/19/2020,9633.39
2/20/2020,9608.48
2/21/2020,9686.44
2/22/2020,9663.18
2/23/2020,9924.52
2/24/2020,9650.17
2/25/2020,9341.71
2/26/2020,8820.52
2/27/2020,8784.49
2/28/2020,8672.46
2/29/2020,8599.51
3/1/2020,8562.45
3/2/2020,8869.67
3/3/2020,8787.79
3/4/2020,8755.25
3/5/2020,9078.76
3/6/2020,9122.55
3/7/2020,8909.95
3/8/2020,8108.12
3/9/2020,7923.64
3/10/2020,7909.73
3/11/2020,7911.43
3/12/2020,4970.79
3/13/2020,5563.71
3/14/2020,5200.37
3/15/2020,5392.31
3/16/2020,5014.48
3/17/2020,5225.63
3/18/2020,5238.44
3/19/2020,6191.19
3/20/2020,6198.78
3/21/2020,6185.07
3/22/2020,5830.25
3/23/2020,6416.31
3/24/2020,6734.8
3/25/2020,6681.06
3/26/2020,6716.44
3/27/2020,6469.8
3/28/2020,6242.19
3/29/2020,5922.04
3/30/2020,6429.84
3/31/2020,6438.64
4/1/2020,6606.78
4/2/2020,6793.62
4/3/2020,6733.39
4/4/2020,6867.53
4/5/2020,6791.13
4/6/2020,7271.78
4/7/2020,7176.41
4/8/2020,7334.1
4/9/2020,7302.09
4/10/2020,6865.49
4/11/2020,6859.08
4/12/2020,6971.09
4/13/2020,6845.04
4/14/2020,6842.43
4/15/2020,6642.11
4/16/2020,7116.8
4/17/2020,7096.18
4/18/2020,7257.66
4/19/2020,7189.42
4/20/2020,6881.96
4/21/2020,6880.32
4/22/2020,7117.21
4/23/2020,7429.72
4/24/2020,7550.9
4/25/2020,7569.94
4/26/2020,7679.87
4/27/2020,7795.6
4/28/2020,7807.06
4/29/2020,8801.04
4/30/2020,8658.55
5/1/2020,8864.77
5/2/2020,8988.6
5/3/2020,8897.47
5/4/2020,8912.65
5/5/2020,9003.07
5/6/2020,9268.76
5/7/2020,9951.52
5/8/2020,9842.67
5/9/2020,9593.9
5/10/2020,8756.43
5/11/2020,8601.8
5/12/2020,8804.48
5/13/2020,9269.99
5/14/2020,9733.72
5/15/2020,9328.2
5/16/2020,9377.01
5/17/2020,9670.74
5/18/2020,9726.57
5/19/2020,9729.04
5/20/2020,9522.98
5/21/2020,9081.76
5/22/2020,9182.58
5/23/2020,9209.29
5/24/2020,8790.37
5/25/2020,8906.93
5/26/2020,8835.05
5/27/2020,9181.02
5/28/2020,9525.75
5/29/2020,9439.12
5/30/2020,9700.41
5/31/2020,9461.06
6/1/2020,10167.27
6/2/2020,9529.8
6/3/2020,9656.72
6/4/2020,9800.64
6/5/2020,9665.53
6/6/2020,9653.68
6/7/2020,9758.85
6/8/2020,9771.49
6/9/2020,9795.7
6/10/2020,9870.09
6/11/2020,9321.78
6/12/2020,9480.84
6/13/2020,9475.28
6/14/2020,9386.79
6/15/2020,9450.7
6/16/2020,9538.02
6/17/2020,9480.26
6/18/2020,9411.84
6/19/2020,9288.02
6/20/2020,9332.34
6/21/2020,9303.63
6/22/2020,9648.72
6/23/2020,9629.66
6/24/2020,9313.61
6/25/2020,9264.81
6/26/2020,9162.92
6/27/2020,9045.39
6/28/2020,9143.58
6/29/2020,9190.85
6/30/2020,9137.99
7/1/2020,9228.33
7/2/2020,9123.41
7/3/2020,9087.3
7/4/2020,9132.49
7/5/2020,9073.94
7/6/2020,9375.47
7/7/2020,9252.28
7/8/2020,9428.33
7/9/2020,9277.97
7/10/2020,9278.81
7/11/2020,9240.35
7/12/2020,9276.5
7/13/2020,9243.61
7/14/2020,9243.21
7/15/2020,9192.84
7/16/2020,9132.23
7/17/2020,9151.39
7/18/2020,9159.04
7/19/2020,9185.82
7/20/2020,9164.23
7/21/2020,9374.89
7/22/2020,9525.36
7/23/2020,9581.07
7/24/2020,9536.89
7/25/2020,9677.11
7/26/2020,9905.17
7/27/2020,10990.87
7/28/2020,10912.82
7/29/2020,11100.47
7/30/2020,11111.21
7/31/2020,11323.47
8/1/2020,11759.59
8/2/2020,11053.61
8/3/2020,11246.35
8/4/2020,11205.89
8/5/2020,11747.02
8/6/2020,11779.77
8/7/2020,11601.47
