Date,Close**
1/1/2011,0.3
1/2/2011,0.3
1/3/2011,0.3
1/4/2011,0.3
1/5/2011,0.3
1/6/2011,0.3
1/7/2011,0.32
1/8/2011,0.32
1/9/2011,0.32
1/10/2011,0.32
1/11/2011,0.33
1/12/2011,0.33
1/13/2011,0.33
1/14/2011,0.42
1/15/2011,0.4
1/16/2011,0.39
1/17/2011,0.38
1/18/2011,0.32
1/19/2011,0.33
1/20/2011,0.36
1/21/2011,0.39
1/22/2011,0.44
1/23/2011,0.43
1/24/2011,0.42
1/25/2011,0.43
1/26/2011,0.42
1/27/2011,0.42
1/28/2011,0.45
1/29/2011,0.45
1/30/2011,0.47
1/31/2011,0.52
2/1/2011,0.69
2/2/2011,0.8
2/3/2011,0.73
2/4/2011,0.81
2/5/2011,0.92
2/6/2011,0.91
2/7/2011,0.9
2/8/2011,0.92
2/9/2011,1
2/10/2011,0.98
2/11/2011,1.08
2/12/2011,1.03
2/13/2011,1.05
2/14/2011,1.08
2/15/2011,1.07
2/16/2011,1.06
2/17/2011,1.05
2/18/2011,0.91
2/19/2011,0.99
2/20/2011,0.87
2/21/2011,0.91
2/22/2011,0.88
2/23/2011,0.89
2/24/2011,0.99
2/25/2011,0.96
2/26/2011,1
2/27/2011,0.91
2/28/2011,0.87
3/1/2011,0.94
3/2/2011,0.94
3/3/2011,0.95
3/4/2011,0.9
3/5/2011,0.91
3/6/2011,0.91
3/7/2011,0.89
3/8/2011,0.89
3/9/2011,0.89
3/10/2011,0.93
3/11/2011,0.88
3/12/2011,0.92
3/13/2011,0.91
3/14/2011,0.91
3/15/2011,0.9
3/16/2011,0.88
3/17/2011,0.87
3/18/2011,0.87
3/19/2011,0.83
3/20/2011,0.81
3/21/2011,0.78
3/22/2011,0.8
3/23/2011,0.84
3/24/2011,0.86
3/25/2011,0.9
3/26/2011,0.87
3/27/2011,0.88
3/28/2011,0.87
3/29/2011,0.82
3/30/2011,0.8
3/31/2011,0.79
4/1/2011,0.78
4/2/2011,0.79
4/3/2011,0.79
4/4/2011,0.72
4/5/2011,0.76
4/6/2011,0.74
4/7/2011,0.75
4/8/2011,0.75
4/9/2011,0.74
4/10/2011,0.76
4/11/2011,0.77
4/12/2011,0.82
4/13/2011,0.92
4/14/2011,0.99
4/15/2011,0.98
4/16/2011,1.07
4/17/2011,1.11
4/18/2011,1.13
4/19/2011,1.2
4/20/2011,1.17
4/21/2011,1.21
4/22/2011,1.33
4/23/2011,1.45
4/24/2011,1.63
4/25/2011,1.57
4/26/2011,1.77
4/27/2011,1.81
4/28/2011,2.15
4/29/2011,2.82
4/30/2011,3.44
5/1/2011,3.6
5/2/2011,3.59
5/3/2011,3.43
5/4/2011,3.51
5/5/2011,3.43
5/6/2011,3.52
5/7/2011,3.63
5/8/2011,3.82
5/9/2011,3.82
5/10/2011,5.31
5/11/2011,5.47
5/12/2011,6.23
5/13/2011,6.66
5/14/2011,7.68
5/15/2011,8.34
5/16/2011,8.35
5/17/2011,8.25
5/18/2011,7.31
5/19/2011,7.61
5/20/2011,5.72
5/21/2011,6.83
5/22/2011,6.67
5/23/2011,7.09
5/24/2011,7.4
5/25/2011,7.72
5/26/2011,8.11
5/27/2011,9.15
5/28/2011,8.37
5/29/2011,8.57
5/30/2011,8.7
5/31/2011,8.78
6/1/2011,9.53
6/2/2011,10.09
6/3/2011,13.01
6/4/2011,18.37
6/5/2011,17.51
6/6/2011,18.81
6/7/2011,21.07
6/8/2011,25.36
6/9/2011,30.06
6/10/2011,26.3
6/11/2011,28.71
6/12/2011,26.61
6/13/2011,20.95
6/14/2011,22.91
6/15/2011,20.69
6/16/2011,19.72
6/17/2011,16.86
6/18/2011,18.45
6/19/2011,17.59
6/20/2011,18.22
6/21/2011,17.09
6/22/2011,15.58
6/23/2011,15.48
6/24/2011,17.06
6/25/2011,17.13
6/26/2011,17.19
6/27/2011,17.47
6/28/2011,17.07
6/29/2011,16.9
6/30/2011,16.16
7/1/2011,17.18
7/2/2011,16.6
7/3/2011,15.75
7/4/2011,14.05
7/5/2011,14.24
7/6/2011,15.25
7/7/2011,14.78
7/8/2011,15.43
7/9/2011,15.03
7/10/2011,15.15
7/11/2011,14.86
7/12/2011,14.13
7/13/2011,14.12
7/14/2011,14.09
7/15/2011,14.03
7/16/2011,13.86
7/17/2011,13.96
7/18/2011,13.63
7/19/2011,13.86
7/20/2011,13.78
7/21/2011,13.86
7/22/2011,13.89
7/23/2011,13.8
7/24/2011,13.96
7/25/2011,14.09
7/26/2011,14.48
7/27/2011,14
7/28/2011,13.49
7/29/2011,13.8
7/30/2011,13.62
7/31/2011,13.43
8/1/2011,13.34
8/2/2011,12.83
8/3/2011,12.18
8/4/2011,12.32
8/5/2011,11.05
8/6/2011,7.5
8/7/2011,8.77
8/8/2011,8.47
8/9/2011,9.78
8/10/2011,10.12
8/11/2011,10.3
8/12/2011,9.83
8/13/2011,9.98
8/14/2011,10.35
8/15/2011,11.18
8/16/2011,11.53
8/17/2011,11.27
8/18/2011,11.33
8/19/2011,11.7
8/20/2011,11.46
8/21/2011,11.42
8/22/2011,11.24
8/23/2011,11.48
8/24/2011,11.31
8/25/2011,11.24
8/26/2011,8.93
8/27/2011,9.3
8/28/2011,9.15
8/29/2011,9.4
8/30/2011,9.38
8/31/2011,9.05
9/1/2011,8.43
9/2/2011,8.5
9/3/2011,8.52
9/4/2011,8.34
9/5/2011,7.97
9/6/2011,8.2
9/7/2011,7.55
9/8/2011,6.71
9/9/2011,7.16
9/10/2011,4.82
9/11/2011,6.28
9/12/2011,6.64
9/13/2011,5.96
9/14/2011,5.93
9/15/2011,5.19
9/16/2011,4.84
9/17/2011,5.08
9/18/2011,5.1
9/19/2011,5.29
9/20/2011,6.1
9/21/2011,5.91
9/22/2011,5.72
9/23/2011,5.69
9/24/2011,5.7
9/25/2011,5.42
9/26/2011,5.14
9/27/2011,5.16
9/28/2011,5.08
9/29/2011,4.9
9/30/2011,5.09
10/1/2011,5.27
10/2/2011,5.18
10/3/2011,5.06
10/4/2011,5.06
10/5/2011,4.95
10/6/2011,4.78
10/7/2011,4.35
10/8/2011,4.04
10/9/2011,4.53
10/10/2011,4.16
10/11/2011,4.19
10/12/2011,4.16
10/13/2011,4.06
10/14/2011,4.15
10/15/2011,3.86
10/16/2011,3.61
10/17/2011,2.78
10/18/2011,3.43
10/19/2011,2.39
10/20/2011,2.36
10/21/2011,2.55
10/22/2011,3
10/23/2011,3.18
10/24/2011,3.27
10/25/2011,3.09
10/26/2011,2.88
10/27/2011,3.02
10/28/2011,3.15
10/29/2011,3.4
10/30/2011,3.62
10/31/2011,3.32
11/1/2011,3.25
11/2/2011,3.36
11/3/2011,3.33
11/4/2011,3.15
11/5/2011,3.16
11/6/2011,2.97
11/7/2011,3.02
11/8/2011,3.05
11/9/2011,3.03
11/10/2011,2.88
11/11/2011,3.05
11/12/2011,3.03
11/13/2011,3.09
11/14/2011,2.52
11/15/2011,2.77
11/16/2011,2.66
11/17/2011,2.25
11/18/2011,2.05
11/19/2011,2.32
11/20/2011,2.31
11/21/2011,2.36
11/22/2011,2.32
11/23/2011,2.35
11/24/2011,2.41
11/25/2011,2.5
11/26/2011,2.53
11/27/2011,2.49
11/28/2011,2.52
11/29/2011,2.68
11/30/2011,2.97
12/1/2011,3.05
12/2/2011,3.13
12/3/2011,2.96
12/4/2011,2.9
12/5/2011,2.95
12/6/2011,2.96
12/7/2011,3
12/8/2011,3.08
12/9/2011,3.09
12/10/2011,3.05
12/11/2011,3.24
12/12/2011,3.3
12/13/2011,3.27
12/14/2011,3.21
12/15/2011,3.25
12/16/2011,3.2
12/17/2011,3.22
12/18/2011,3.22
12/19/2011,3.48
12/20/2011,3.91
12/21/2011,4.19
12/22/2011,4.06
12/23/2011,3.98
12/24/2011,3.95
12/25/2011,4.1
12/26/2011,4.28
12/27/2011,4.15
12/28/2011,4.18
12/29/2011,4.17
12/30/2011,4.32
12/31/2011,4.61
1/1/2012,5.13
1/2/2012,5.22
1/3/2012,4.9
1/4/2012,5.55
1/5/2012,6.67
1/6/2012,6.6
1/7/2012,7.14
1/8/2012,7.06
1/9/2012,6.61
1/10/2012,7.03
1/11/2012,6.92
1/12/2012,7.02
1/13/2012,6.42
1/14/2012,6.8
1/15/2012,6.83
1/16/2012,6.88
1/17/2012,6.45
1/18/2012,6.74
1/19/2012,6.69
1/20/2012,6.4
1/21/2012,6.23
1/22/2012,6.5
1/23/2012,6.37
1/24/2012,6.37
1/25/2012,6.43
1/26/2012,5.88
1/27/2012,5.64
1/28/2012,5.65
1/29/2012,5.39
1/30/2012,5.57
1/31/2012,5.55
2/1/2012,5.76
2/2/2012,6.09
2/3/2012,6.04
2/4/2012,5.97
2/5/2012,5.87
2/6/2012,5.74
2/7/2012,5.77
2/8/2012,5.74
2/9/2012,5.84
2/10/2012,5.87
2/11/2012,5.6
2/12/2012,5.8
2/13/2012,5.56
2/14/2012,4.57
2/15/2012,5.19
2/16/2012,4.63
2/17/2012,4.42
2/18/2012,4.48
2/19/2012,4.41
2/20/2012,4.38
2/21/2012,4.33
2/22/2012,4.45
2/23/2012,4.67
2/24/2012,5
2/25/2012,5.09
2/26/2012,5.03
2/27/2012,5.01
2/28/2012,5.04
2/29/2012,4.96
3/1/2012,4.92
3/2/2012,4.81
3/3/2012,4.89
3/4/2012,4.82
3/5/2012,4.93
3/6/2012,5
3/7/2012,5.02
3/8/2012,4.95
3/9/2012,4.88
3/10/2012,4.87
3/11/2012,4.92
3/12/2012,4.92
3/13/2012,5.26
3/14/2012,5.38
3/15/2012,5.35
3/16/2012,5.35
3/17/2012,5.34
3/18/2012,5.37
3/19/2012,4.93
3/20/2012,5.1
3/21/2012,4.88
3/22/2012,4.86
3/23/2012,4.73
3/24/2012,4.77
3/25/2012,4.72
3/26/2012,4.68
3/27/2012,4.81
3/28/2012,4.78
3/29/2012,4.84
3/30/2012,4.85
3/31/2012,4.89
4/1/2012,4.91
4/2/2012,4.97
4/3/2012,5
4/4/2012,4.92
4/5/2012,4.93
4/6/2012,4.95
4/7/2012,4.87
4/8/2012,4.89
